case_sfid,account_sfid,case_number,case_contact_name,case_product,case_status,case_resolution,case_details,case_closure,case_priority,case_severity,case_reason,case_type,case_category,case_created_date,case_closed_date
c9f05bc582a8abec4c5f1a9385c24a96d86d3f3093c557024c3eba9453c3e9af,58912bf7e5131400adbc1c1521158b7b8cc2f2f3fbd51ff73ad8d816007bfbdf,69908,Contact_e2737240,Verify Enterprise,Closed,Done,Trial,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-09,2025-01-09
a8f7c39a437d713e800599205d6cd9319733fd5df18af82d1b329abd98d036ea,3675a0565672bccecbba8a8a102b0482f3c82e6f07443eefd05ad216629cf610,69887,Contact_20439d47,GVD Perpetual,Closed,Done,Trial,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-09,2025-01-09
654dd0c826e0842cdd030e935aa1e886787cb990b693c2d4e04e71ee10ae2292,58912bf7e5131400adbc1c1521158b7b8cc2f2f3fbd51ff73ad8d816007bfbdf,69910,Contact_edf7784e,Verify Enterprise,Closed,Done,Trial,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-09,2025-01-09
57422ac55031dd6c7acf36a2bc6d74e01e0c0194c6131829b39c1c14f352d9b1,908d42c9a4e3f4beae8bf394dd2ed82090a219cdf6451877e580d3edaa598ac7,69905,Contact_6f59abbf,Verify,Closed,Done,Full,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-09,2025-01-09
b88c12d55a7c468c96e48a7693e306e24f44947f5f1e3f08f5c0f64685eafc4a,,69891,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-09,
7201ca1fa40a8466c801b9428fad499c979561e2e8463f34ebc0a36c00d68e21,1a07fea194096dc37843674e6441e749bf468e63d673f324f56ded6f483dfa98,69896,Contact_cb9c5d58,Verify Enterprise,Closed,Done,Full,Undefined,Normal,Medium,Other,License Activation,Licensing,2025-01-09,2025-01-09
452d9ec220bcb52e820a48a2a8535a419c29b4e1d421359446462285140eaa7b,0380781d3a99edbc49d3555a2024159036d381df74ea4dba9eb4c849c06aa5cb,69886,Contact_20439d47,GVD Perpetual,Closed,Done,Trial,Undefined,Normal,Low,Other,License Activation,Licensing,2025-01-09,2025-01-09
75845c31b97410dfb371627fdda20175578d49ae3cd70afc19bb6bbb665bfa1b,a6b6a3deac72bfbd98608d35a5c4d165e05ff0a89debb281b35fcaa665e47a8d,69898,Contact_aac2679e,Verify,Waiting On Customer,Undefined,Module Affected: Spelling,Undefined,Normal,Medium,Other,Software Performance,Software,2025-01-09,
9278b437c3cfe1453d11c242f23c70001c89fda3d0848d0ce57a11551d067e40,881d50808a6255889c8c32ea836f95024472b3d7a9864b7ec1d41c3ee30a63ef,69894,Contact_96687ae9,Verify,Waiting On Customer,Undefined,Module Affected: Spelling,Undefined,not_priority,Medium,Other,Software Performance,Software,2025-01-09,
70d204c2670dd66f2a9b32b7cfaea4ebdbb280e923aa70e90082e3c062b0e47a,e2034e1ad9c5af91540260ae9eb6b937ed877a74b6b76fc6bcfd8440cceed2db,69890,Contact_e904e325,Digital Platform,Closed,Done,Other,Undefined,Normal,Medium,Other,Software Question,Software,2025-01-09,2025-01-09
41b625176eb905cbaef6834cc7647c1bdf4e4254003585eba9622eb633eae59a,,69892,Contact_f02dfb7d,Other,Duplicate,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-09,2025-01-09
e455855357df4279a8c5e565439a275e1ef9bfac047a31059e381df4d5e39541,941abcb3948063f92f5a784bc1aceb3020423ba28ca9398a9cc41a76fd3511e1,69895,Contact_e00625cd,Not a Support Case,Closed,Undefined,Undefined,Undefined,Normal,Low,Other,Undefined,Undefined,2025-01-09,2025-01-09
7922e02fff1dd71f9072b66aebd21b67b617c860346c449a87826017b81d49a4,afd1bb19e396f1f75ae55fc80ae93773fddf91fd9a254dca4d42b9b934839b6c,69909,Contact_d3c738cf,Not a Support Case,Closed,Undefined,Undefined,Undefined,Normal,Low,Other,Undefined,Undefined,2025-01-09,2025-01-09
911fdf49df8d226d310c788df6317b6e835e6c640e76da70fdb29ddcb83c33e2,a6b6a3deac72bfbd98608d35a5c4d165e05ff0a89debb281b35fcaa665e47a8d,69897,Contact_f02dfb7d,Verify,Working,Undefined,Module Affected: Graphics,Undefined,Normal,Low,Other,Software Question,Software,2025-01-09,
04cdda3c6710d76130f6f8a3dd3a5d09d83d7e02e3c4ac028ff0a2df70843aa8,70d062acf4154bf7cad4f64edc6504544ee676ce8581d9f0df3fb0ada118f3ad,69899,Contact_e87abb7f,GVD,Duplicate,Undefined,Trial,Undefined,Normal,Undefined,Other,License Activation,Licensing,2025-01-09,2025-01-09
56597b115353e492291c2bec9616ac56b5607d18d2ec27270858ce68c4fb68bf,e745ef34d13ee0afc2746a14802002c80849180dfb05bbd4f8c9f37b98d96b7f,69906,Contact_9839b6aa,GVD,Waiting On Customer,Undefined,Undefined,Undefined,Normal,Medium,Other,Crash,Software,2025-01-09,
20c5c62c6078e9208f9775ab018d7033737a187d1672adc38f9caa8575fcd77e,881d50808a6255889c8c32ea836f95024472b3d7a9864b7ec1d41c3ee30a63ef,69904,Contact_96687ae9,Verify,Closed,Fixed,Module Affected: Spelling,Undefined,Normal,Low,Other,Inspection Results,Software,2025-01-09,2025-01-09
80890819263721443a49e687885f16dffa9456d5111fbd5a3ab194f75be8adb2,,69902,Contact_f02dfb7d,Other,New,Undefined,Undefined,Undefined,Normal,Undefined,Other,Undefined,Undefined,2025-01-09,
